tic	at
AXR	195.8560
AXR	195.8560
AXR	184.9480
AXR	184.9480
ADI	3090.9920
ADI	3404.2940
ADI	4328.8310
ADI	5277.6350
ADI	5620.3470
ADI	6381.7500
ALOG	511.1650
ALOG	464.1140
ALOG	485.7760
ALOG	521.5520
ALOG	557.9960
ALOG	587.7840
ANLY	54.2540
ANLY	30.6770
ANLY	23.6120
ANLY	26.1920
ANLY	24.7190
ANEN	172.1030
ANEN	237.0550
ANEN	241.3480
ANEN	252.6450
ANEN	213.7870
ANEN	215.6450
ANDR	5.4220
ANDR	5.8270
ANDR	5.7880
ANDR	5.2370
ANDR	3.7300
ANDR	2.7890
ANDE	1308.7730
ANDE	1284.3910
ANDE	1699.3900
ANDE	1734.1230
ANDE	2182.3040
ANDE	2273.5560
NBR	10467.9820
NBR	10644.6900
NBR	11646.5690
NBR	12912.1400
NBR	12656.0220
NBR	12159.8110
MXLP	229.5670
MXLP	317.1720
APA	29186.4850
APA	28185.7430
APA	43425.0000
APA	52051.0000
APA	60737.0000
APA	61637.0000
ASOE	36.1200
ASOE	34.1350
ASOE	37.8130
ASOE	28.1690
ASOE	27.1710
ASOE	27.7010
APAGF	202.7940
APAGF	224.1910
APAGF	248.1890
APAGF	282.9960
APAGF	336.7070
APAGF	375.2540
APOG	527.6840
APOG	526.8540
APOG	515.3670
APOG	493.1040
APOG	520.1410
APOG	565.3570
AEP1	8762.6640
AEP1	9796.4130
AEP1	9997.1530
AEP1	10299.5070
AEP1	10507.6680
AEP1	11310.6480
AAPL	39572.0000
AAPL	47501.0000
AAPL	75183.0000
AAPL	116371.0000
AAPL	176064.0000
AAPL	207000.0000
AMAT	11006.3180
AMAT	9574.2430
AMAT	10943.3450
AMAT	13861.0000
AMAT	12102.0000
AMAT	12043.0000
SSHZ	23.6730
SSHZ	19.6630
ATU	1668.3820
ATU	1568.4310
ATU	1621.7030
ATU	2056.6810
ATU	2007.1190
ATU	2119.3320
TREC	98.1460
TREC	90.4870
TREC	92.5280
TREC	110.6120
TREC	120.3760
TREC	143.6670
AROBF	1066.3110
AROBF	1138.9030
AROBF	1208.6190
AROBF	1249.1450
AOXY	0.7890
AOXY	0.6870
